City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,teseney,15.11,36.6575,83.1,15,0,10.27,ER,1614441571
351,egvekinot,66.3167,-179.1667,-20.99,84,0,10.8,RU,1614441571
352,savinka,50.0785,47.0994,32.81,95,100,13.71,RU,1614441571
353,san antonio,29.4241,-98.4936,66.99,100,90,9.22,US,1614441499
354,talara,-4.5772,-81.2719,80.6,57,0,12.66,PE,1614441571
355,polis,35.0367,32.4264,60.8,72,20,10.36,CY,1614441572
356,mildura,-34.2,142.15,66.2,42,0,4.61,AU,1614441572
357,fukue,32.6881,128.8419,55.2,53,100,13.2,JP,1614441572
358,darnah,32.767,22.6367,59.09,70,0,12.06,LY,1614441572
359,sindor,62.8629,51.8905,-1.7,97,66,4.29,RU,1614441572
360,tilichiki,60.4667,166.1,-23.35,87,100,10.65,RU,1614441572
361,quatre cocos,-20.2078,57.7625,80.6,74,75,6.91,MU,1614441573
362,berlevag,70.8578,29.0864,29.53,95,87,10.2,NO,1614441573
363,jawhar,2.7809,45.5005,77.72,70,1,17.29,SO,1614441573
364,nanortalik,60.1432,-45.2371,23.9,92,92,34.74,GL,1614441573
365,kontagora,10.3999,5.4695,100.89,10,0,4.36,NG,1614441573
366,adrar,20.5022,-10.0711,77.2,17,0,7.16,MR,1614441574
367,neiafu,-18.65,-173.9833,73.4,88,75,9.22,TO,1614441574
368,kloulklubed,7.0419,134.2556,78.8,89,75,5.75,PW,1614441574
369,vanavara,60.34,102.2797,-15.05,88,100,6.62,RU,1614441574
370,kahului,20.8947,-156.47,69.8,83,20,16.11,US,1614441462
371,bay roberts,47.5999,-53.2648,23.0,53,15,5.99,CA,1614441575
372,pimentel,-6.8367,-79.9342,78.8,61,0,11.5,PE,1614441575
373,price,39.5994,-110.8107,21.2,45,20,8.05,US,1614441297
374,chokwe,-24.5333,32.9833,73.74,77,100,7.74,MZ,1614441575
375,lata,40.1629,-8.3327,68.0,69,100,1.01,PT,1614441575
376,iskateley,67.6803,53.1512,0.37,92,100,13.56,RU,1614441576
377,kudahuvadhoo,2.6708,72.8944,82.0,73,66,10.36,MV,1614441576
378,marienburg,54.0359,19.0266,42.01,100,0,6.4,PL,1614441576
379,alofi,-19.0595,-169.9187,78.8,83,100,11.5,NU,1614441576
380,jonkoping,57.7814,14.1562,48.2,49,57,6.91,SE,1614441577
381,meadow lake,34.8014,-106.5436,41.0,27,40,10.36,US,1614441577
382,awjilah,29.1081,21.2869,67.77,36,2,9.91,LY,1614441577
383,anito,12.4497,125.2886,78.76,87,2,8.97,PH,1614441577
384,almazar,40.3217,69.0106,32.0,59,11,20.13,UZ,1614441577
385,broken hill,-31.95,141.4333,71.6,23,22,3.44,AU,1614441577
386,petropavlovsk-kamchatskiy,53.0452,158.6483,15.8,79,100,9.57,RU,1614441577
387,macklin,52.3334,-109.9348,3.2,85,96,4.61,CA,1614441577
388,liverpool,53.4106,-2.9779,55.4,54,3,4.61,GB,1614441278
389,sistranda,63.7256,8.834,44.6,87,75,27.63,NO,1614441577
390,tarancon,40.0085,-3.0073,66.0,39,0,2.3,ES,1614441578
391,camacha,33.0833,-16.3333,59.0,82,40,19.57,PT,1614441578
392,sawakin,19.1059,37.3321,75.33,62,0,6.11,SD,1614441578
393,naze,28.3667,129.4833,60.6,91,100,34.99,JP,1614441579
394,makungu,-8.7333,35.2833,67.82,87,100,0.92,TZ,1614441579
395,onda,39.9667,-0.25,60.01,63,69,1.99,ES,1614441579
396,viedma,-40.8135,-62.9967,95.16,15,0,19.17,AR,1614441579
397,jimani,18.4917,-71.8502,84.2,51,20,17.27,DO,1614441579
398,notse,6.95,1.1667,91.85,43,79,8.3,TG,1614441580
399,hovd,48.0056,91.6419,8.06,62,9,0.25,MN,1614441580
400,kargala,56.6208,83.9607,-11.99,76,99,6.02,RU,1614441580
401,guarapari,-20.6667,-40.4975,84.2,70,75,9.22,BR,1614441580
402,igrim,63.1906,64.4162,-9.8,91,22,6.11,RU,1614441580
403,yeppoon,-23.1333,150.7333,78.8,78,73,6.91,AU,1614441581
404,keflavik,64.0049,-22.5624,44.6,76,75,33.38,IS,1614441581
405,cairns,-16.9167,145.7667,77.0,94,90,5.75,AU,1614441581
406,porbandar,21.6422,69.6093,74.19,84,0,10.71,IN,1614441581
407,nexo,55.0607,15.1306,41.0,81,0,6.91,DK,1614441581
408,skegness,53.1436,0.3363,51.8,62,20,6.91,GB,1614441407
409,bhatkal,13.9667,74.5667,79.21,73,0,7.81,IN,1614441582
410,nago,26.5881,127.9761,69.8,88,90,4.61,JP,1614441582
411,batagay-alyta,67.8006,130.4114,-31.88,99,0,0.31,RU,1614441582
412,muros,42.7762,-9.0603,68.0,58,78,5.01,ES,1614441583
413,aleksandrov gay,50.147,48.5704,32.4,93,100,12.91,RU,1614441583
414,high level,58.5169,-117.136,-25.6,75,75,0.43,CA,1614441583
415,kattivakkam,13.2167,80.3167,78.8,83,20,4.61,IN,1614441583
416,nome,64.5011,-165.4064,-7.6,71,1,6.62,US,1614441369
417,hamilton,39.1834,-84.5333,51.01,76,90,5.75,US,1614441331
418,yarada,17.65,83.2667,80.6,83,20,4.61,IN,1614441584
419,zychlin,52.244,19.6261,46.4,57,40,12.66,PL,1614441584
420,bowen,-20.0167,148.2333,77.0,94,40,8.05,AU,1614441584
421,kieta,-6.2167,155.6333,79.09,84,97,11.63,PG,1614441585
422,oum hadjer,13.2954,19.6966,96.35,10,10,10.6,TD,1614441585
423,chiria,22.3,85.2667,70.52,19,0,2.51,IN,1614441585
424,nyagan,62.1406,65.3936,-11.22,90,20,5.21,RU,1614441585
425,zhigansk,66.7697,123.3711,-28.95,94,100,9.44,RU,1614441585
426,nicoya,10.1483,-85.452,86.0,51,20,24.16,CR,1614441585
427,puerto barrios,15.7167,-88.6,80.6,78,20,4.61,GT,1614441586
